,Source,Target
152,hypercholesterolemia, pain
153,hypercholesterolemia, pain chest
154,hypercholesterolemia, sweat
155,hypercholesterolemia, sweat increase
156,hypercholesterolemia, nonsmoker
157,hypercholesterolemia, pressure chest
158,hypercholesterolemia, syncope
159,hypercholesterolemia, numbness
160,hypercholesterolemia, chest discomfort
161,hypercholesterolemia, shortness breath
162,hypercholesterolemia, st segment depression
163,hypercholesterolemia, worry
164,hypercholesterolemia, wave invert
165,hypercholesterolemia, bradycardia
166,hypercholesterolemia, dyspnea
167,infection, fever
168,infection, erythema
169,infection, decrease translucency
170,infection, hepatosplenomegaly
171,infection, chill
172,infection, pruritus
173,infection, diarrhea
174,infection, abscess bacterial
175,infection, swell
176,infection, pain
177,infection, apyrexial
178,infection, cough
179,infection urinary tract, fever
180,infection urinary tract, dysuria
181,infection urinary tract, hematuria
182,infection urinary tract, renal angle tenderness
183,infection urinary tract, lethargy
184,infection urinary tract, asthenia
185,infection urinary tract, hyponatremia
186,infection urinary tract, hemodynamically stable
187,infection urinary tract, distress respiratory
188,infection urinary tract, difficulty pass urine
189,infection urinary tract, mental status change
190,infection urinary tract, consciousness clear
191,anemia, chill
192,anemia, guaiac positive
193,anemia, monoclonal
194,anemia, ecchymosis
195,anemia, tumor cell invasion
196,anemia, haemorrhage
197,anemia, pallor
198,anemia, asthenia
199,anemia, fatigue
200,anemia, heme positive
201,anemia, pain back
202,anemia, orthostasis
203,anemia, hyponatremia
204,anemia, dizziness
205,anemia, shortness breath
206,anemia, pain
207,anemia, rhonchus
208,anemia, arthralgia
209,anemia, swell
210,anemia, transaminitis
211,chronic obstructive airway disease, shortness breath
212,chronic obstructive airway disease, wheeze
213,chronic obstructive airway disease, cough
214,chronic obstructive airway disease, dyspnea
215,chronic obstructive airway disease, distress respiratory
216,chronic obstructive airway disease, sputum purulent
217,chronic obstructive airway disease, hypoxemia
218,chronic obstructive airway disease, hypercapnia
219,chronic obstructive airway disease, patient non compliance
220,chronic obstructive airway disease, chest tightness
221,dementia, fever
222,dementia, fall
223,dementia, unresponsiveness
224,dementia, lethargy
225,dementia, agitation
226,dementia, ecchymosis
227,dementia, syncope
228,dementia, rale
229,dementia, unconscious state
230,dementia, cough
231,dementia, bedridden
232,dementia, bedridden
233,dementia, pain
234,dementia, facial paresis
235,dementia, abdominal tenderness
236,dementia, rhonchus
237,dementia, unsteady gait
238,dementia, hallucinations auditory
239,insufficiency renal, shortness breath
240,insufficiency renal, hyperkalemia
241,insufficiency renal, orthopnea
242,insufficiency renal, rale
243,insufficiency renal, urgency micturition
244,insufficiency renal, ascites
245,insufficiency renal, guaiac positive
246,insufficiency renal, asthenia
247,insufficiency renal, apyrexial
248,insufficiency renal, mental status change
249,insufficiency renal, dyspnea
250,insufficiency renal, difficulty
251,insufficiency renal, diarrhea
252,insufficiency renal, hypotension
253,insufficiency renal, breath sound decrease
254,insufficiency renal, swell
255,insufficiency renal, hypokinesia
256,confusion, seizure
257,confusion, enuresis
258,confusion, lethargy
259,confusion, speech slur
260,confusion, fall
261,confusion, consciousness clear
262,confusion, mental status change
263,confusion, asterixis
264,confusion, unconscious state
265,confusion, agitation
266,confusion, muscle twitch
267,confusion, asthenia
268,confusion, sleepy
269,confusion, dizziness
270,confusion, headache
271,confusion, dysarthria
272,confusion, lightheadedness
273,confusion, tremor
274,confusion, hyponatremia
275,confusion, unresponsiveness
276,degenerative polyarthritis, pain
277,degenerative polyarthritis, food intolerance
278,degenerative polyarthritis, numbness hand
279,degenerative polyarthritis, general discomfort
280,degenerative polyarthritis, drowsiness
281,degenerative polyarthritis, asthenia
282,degenerative polyarthritis, nonsmoker
283,degenerative polyarthritis, non-productive cough
284,degenerative polyarthritis, polydypsia
285,degenerative polyarthritis, stiffness
286,degenerative polyarthritis, unsteady gait
287,hypothyroidism, shortness breath
288,hypothyroidism, prostatism
289,hypothyroidism, drowsiness
290,hypothyroidism, sleepy
291,hypothyroidism, hyponatremia
292,hypothyroidism, fall
293,hypothyroidism, unsteady gait
294,hypothyroidism, polyuria
295,hypothyroidism, hypotension
296,hypothyroidism, difficulty
297,hypothyroidism, syncope
298,hypothyroidism, nightmare
299,hypothyroidism, speech slur
300,hypothyroidism, weight gain
301,hypothyroidism, asthenia
302,hypothyroidism, fatigue
303,hypothyroidism, tire
304,hypothyroidism, agitation
305,hypothyroidism, mental status change
306,hypothyroidism, motor retardation
307,hypothyroidism, vomit
308,hypothyroidism, numbness
309,hypothyroidism, mass body structure
310,anxiety state, worry
311,anxiety state, feel suicidal
312,anxiety state, suicidal
313,anxiety state, sleeplessness
314,anxiety state, feel hopeless
315,anxiety state, irritable mood
316,anxiety state, tremor
317,anxiety state, blackout
318,anxiety state, weepiness
319,anxiety state, religious belief
320,anxiety state, nervousness
321,anxiety state, hallucinations visual
322,anxiety state, formication
323,anxiety state, difficulty
324,anxiety state, pain chest
325,anxiety state, patient non compliance
326,anxiety state, agitation
327,anxiety state, palpitation
328,anxiety state, hallucinations auditory
329,anxiety state, mood depress
330,anxiety state, hot flush
331,anxiety state, pain
332,anxiety state, consciousness clear
333,anxiety state, nightmare
334,malignant neoplasms, pain
335,malignant neoplasms, mass body structure
336,malignant neoplasms, lesion
337,malignant neoplasms, cushingoid facies
338,malignant neoplasms, cushingoid habitus
339,malignant neoplasms, emphysematous change
340,malignant neoplasms, decrease body weight
341,malignant neoplasms, ascites
342,malignant neoplasms, hoarseness
343,malignant neoplasms, thicken
344,malignant neoplasms, hematuria
345,malignant neoplasms, pulsus paradoxus
346,malignant neoplasms, gravida 10
347,malignant neoplasms, mass body structure
348,malignant neoplasms, lesion
349,malignant neoplasms, heartburn
350,malignant neoplasms, night sweat
351,malignant neoplasms, thicken
352,malignant neoplasms, chill
353,malignant neoplasms, decrease translucency
354,malignant neoplasms, pain abdominal
355,malignant neoplasms, dullness
356,malignant neoplasms, food intolerance
357,malignant neoplasms, distress respiratory
358,malignant neoplasms, hypotension
359,primary malignant neoplasm, pain
360,primary malignant neoplasm, mass body structure
361,primary malignant neoplasm, lesion
362,primary malignant neoplasm, cushingoid facies
363,primary malignant neoplasm, cushingoid habitus
364,primary malignant neoplasm, emphysematous change
365,primary malignant neoplasm, decrease body weight
366,primary malignant neoplasm, ascites
367,primary malignant neoplasm, hoarseness
368,primary malignant neoplasm, thicken
369,primary malignant neoplasm, hematuria
370,acquired immuno-deficiency syndrome, fever
371,acquired immuno-deficiency syndrome, night sweat
372,acquired immuno-deficiency syndrome, spontaneous rupture membranes
373,acquired immuno-deficiency syndrome, cough
374,acquired immuno-deficiency syndrome, nan
375,acquired immuno-deficiency syndrome, decrease body weight
376,acquired immuno-deficiency syndrome, chill
377,acquired immuno-deficiency syndrome, diarrhea
378,acquired immuno-deficiency syndrome, pleuritic pain
379,acquired immuno-deficiency syndrome, patient non compliance
380,acquired immuno-deficiency syndrome, tachypnea
381,acquired immuno-deficiency syndrome, productive cough
382,acquired immuno-deficiency syndrome, muscle hypotonia
383,acquired immuno-deficiency syndrome, hypotonic
384,acquired immuno-deficiency syndrome, feel suicidal
385,HIV, fever
386,HIV, night sweat
387,HIV, spontaneous rupture membranes
388,HIV, cough
389,HIV, nan
390,HIV, decrease body weight
391,HIV, chill
392,HIV, diarrhea
393,HIV, pleuritic pain
394,HIV, patient non compliance
395,HIV, tachypnea
396,HIV, productive cough
397,HIV, muscle hypotonia
398,HIV, hypotonic
399,HIV, feel suicidal
400,hiv infections, fever
401,hiv infections, night sweat
402,hiv infections, spontaneous rupture membranes
403,hiv infections, cough
404,hiv infections, nan
405,hiv infections, decrease body weight
406,hiv infections, chill
407,hiv infections, diarrhea
408,hiv infections, pleuritic pain
409,hiv infections, patient non compliance
410,hiv infections, tachypnea
411,hiv infections, productive cough
412,hiv infections, muscle hypotonia
413,hiv infections, hypotonic
414,hiv infections, feel suicidal
415,cellulitis, erythema
416,cellulitis, pain
417,cellulitis, swell
418,cellulitis, redness
419,cellulitis, fever
420,cellulitis, abscess bacterial
421,cellulitis, patient non compliance
422,cellulitis, hypesthesia
423,cellulitis, hyperacusis
424,cellulitis, pruritus
425,cellulitis, pain chest
426,cellulitis, scratch mark
427,cellulitis, chill
428,cellulitis, sore touch
429,gastroesophageal reflux disease, pain
430,gastroesophageal reflux disease, pain chest
431,gastroesophageal reflux disease, burn sensation
432,gastroesophageal reflux disease, hyponatremia
433,gastroesophageal reflux disease, satiety early
434,gastroesophageal reflux disease, throb sensation quality
435,gastroesophageal reflux disease, chest tightness
436,gastroesophageal reflux disease, sensory discomfort
437,gastroesophageal reflux disease, presence q wave
438,gastroesophageal reflux disease, nausea
439,gastroesophageal reflux disease, general discomfort
440,gastroesophageal reflux disease, constipation
441,gastroesophageal reflux disease, palpitation
442,gastroesophageal reflux disease, pain abdominal
443,gastroesophageal reflux disease, heartburn
444,gastroesophageal reflux disease, sweat
445,gastroesophageal reflux disease, sweat increase
446,gastroesophageal reflux disease, asthenia
447,septicemia, fever
448,septicemia, distress respiratory
449,septicemia, hypotension
450,septicemia, tachypnea
451,septicemia, chill
452,septicemia, lethargy
453,septicemia, bradycardia
454,septicemia, breech presentation
455,septicemia, cyanosis
456,septicemia, spontaneous rupture membranes
457,septicemia, haemorrhage
458,septicemia, unresponsiveness
459,septicemia, rale
460,septicemia, apyrexial
461,systemic infection, fever
462,systemic infection, distress respiratory
463,systemic infection, hypotension
464,systemic infection, tachypnea
465,systemic infection, chill
466,systemic infection, lethargy
467,systemic infection, bradycardia
468,systemic infection, breech presentation
469,systemic infection, cyanosis
470,systemic infection, spontaneous rupture membranes
471,systemic infection, haemorrhage
472,systemic infection, unresponsiveness
473,systemic infection, rale
474,systemic infection, apyrexial
475,sepsis (invertebrate), fever
476,sepsis (invertebrate), distress respiratory
477,sepsis (invertebrate), hypotension
478,sepsis (invertebrate), tachypnea
479,sepsis (invertebrate), chill
480,sepsis (invertebrate), lethargy
481,sepsis (invertebrate), bradycardia
482,sepsis (invertebrate), breech presentation
483,sepsis (invertebrate), cyanosis
484,sepsis (invertebrate), spontaneous rupture membranes
485,sepsis (invertebrate), haemorrhage
486,sepsis (invertebrate), unresponsiveness
487,sepsis (invertebrate), rale
488,sepsis (invertebrate), apyrexial
489,deep vein thrombosis, swell
490,deep vein thrombosis, pain
491,deep vein thrombosis, ecchymosis
492,deep vein thrombosis, shortness breath
493,deep vein thrombosis, pain lower limb
494,deep vein thrombosis, cardiomegaly
495,deep vein thrombosis, rale
496,deep vein thrombosis, erythema
497,deep vein thrombosis, hypotension
498,deep vein thrombosis, clonus
499,deep vein thrombosis, non-productive cough
500,deep vein thrombosis, redness
501,dehydration, fever
502,dehydration, diarrhea
503,dehydration, vomit
504,dehydration, hypotension
505,dehydration, nausea
506,dehydration, lightheadedness
507,dehydration, unwell
508,dehydration, mental status change
509,dehydration, anorexia
510,dehydration, asthenia
511,dehydration, sensory discomfort
512,dehydration, syncope
513,dehydration, lethargy
514,dehydration, dizziness
515,dehydration, syncope
516,dehydration, blackout
517,dehydration, history - blackout
518,neoplasm, mass body structure
519,neoplasm, lesion
520,neoplasm, pain chest
521,neoplasm, hematuria
522,neoplasm, tumor cell invasion
523,neoplasm, pain
524,neoplasm, anosmia
525,neoplasm, thicken
526,neoplasm, metastatic lesion
527,neoplasm, food intolerance
528,neoplasm, decrease body weight
529,neoplasm, night sweat
530,neoplasm, hemianopsia homonymous
531,neoplasm, satiety early
532,neoplasm, pain abdominal
533,neoplasm, headache
534,embolism pulmonary, shortness breath
535,embolism pulmonary, hypoxemia
536,embolism pulmonary, tachypnea
537,embolism pulmonary, hematocrit decrease
538,embolism pulmonary, pain chest
539,embolism pulmonary, dyspnea
540,embolism pulmonary, pleuritic pain
541,embolism pulmonary, neck stiffness
542,embolism pulmonary, yellow sputum
543,embolism pulmonary, productive cough
544,embolism pulmonary, cicatrisation
545,embolism pulmonary, unresponsiveness
546,embolism pulmonary, distress respiratory
547,embolism pulmonary, wheeze
548,embolism pulmonary, apyrexial
549,embolism pulmonary, non-productive cough
550,epilepsy, seizure
551,epilepsy, hypometabolism
552,epilepsy, aura
553,epilepsy, muscle twitch
554,epilepsy, drowsiness
555,epilepsy, tremor
556,epilepsy, unresponsiveness
557,epilepsy, hemiplegia
558,epilepsy, myoclonus
559,epilepsy, gurgle
560,epilepsy, sleepy
561,epilepsy, lethargy
562,epilepsy, wheelchair bind
563,cardiomyopathy, shortness breath
564,cardiomyopathy, orthopnea
565,cardiomyopathy, hypokinesia
566,cardiomyopathy, jugular venous distention
567,cardiomyopathy, palpitation
568,cardiomyopathy, pain chest
569,cardiomyopathy, syncope
570,cardiomyopathy, yellow sputum
571,cardiomyopathy, rale
572,cardiomyopathy, dyspnea
573,cardiomyopathy, dyspnea exertion
574,cardiomyopathy, leave atrial hypertrophy
575,cardiomyopathy, fatigue
576,cardiomyopathy, weight gain
577,cardiomyopathy, patient non compliance
578,chronic kidney failure, vomit
579,chronic kidney failure, orthopnea
580,chronic kidney failure, hyperkalemia
581,chronic kidney failure, oliguria
582,chronic kidney failure, jugular venous distention
583,chronic kidney failure, nausea
584,chronic kidney failure, shortness breath
585,chronic kidney failure, mental status change
586,chronic kidney failure, diarrhea
587,chronic kidney failure, asthenia
588,chronic kidney failure, chest tightness
589,chronic kidney failure, malaise
590,chronic kidney failure, chill
591,chronic kidney failure, rale
592,chronic kidney failure, fever
593,chronic kidney failure, pleuritic pain
594,chronic kidney failure, apyrexial
595,chronic kidney failure, guaiac positive
596,chronic kidney failure, swell
597,chronic kidney failure, catatonia
598,chronic kidney failure, unresponsiveness
599,chronic kidney failure, yellow sputum
600,carcinoma, mass body structure
601,carcinoma, pain
602,carcinoma, lesion
603,carcinoma, tumor cell invasion
604,carcinoma, thicken
605,carcinoma, decrease body weight
606,carcinoma, hoarseness
607,carcinoma, general discomfort
608,carcinoma, metastatic lesion
609,carcinoma, non-productive cough
610,carcinoma, constipation
611,carcinoma, unhappy
612,carcinoma, paresthesia
613,carcinoma, gravida 0
614,carcinoma, diarrhea
615,carcinoma, sore touch
616,carcinoma, heartburn
617,carcinoma, nausea
618,carcinoma, lung nodule
619,hepatitis C, ascites
620,hepatitis C, distend abdomen
621,hepatitis C, feel suicidal
622,hepatitis C, cough
623,hepatitis C, ache
624,hepatitis C, macerate skin
625,hepatitis C, heavy feel
626,hepatitis C, hallucinations auditory
627,hepatitis C, chill
628,hepatitis C, asterixis
629,hepatitis C, patient non compliance
630,peripheral vascular disease, shortness breath
631,peripheral vascular disease, rest pain
632,peripheral vascular disease, angina pectoris
633,peripheral vascular disease, unresponsiveness
634,peripheral vascular disease, hyperkalemia
635,peripheral vascular disease, sinus rhythm
636,peripheral vascular disease, labor breathe
637,peripheral vascular disease, dyspnea
638,peripheral vascular disease, sore touch
639,peripheral vascular disease, anorexia
640,peripheral vascular disease, sleepy
641,psychotic disorder, suicidal
642,psychotic disorder, hallucinations auditory
643,psychotic disorder, feel suicidal
644,psychotic disorder, hallucinations visual
645,psychotic disorder, motor retardation
646,psychotic disorder, blackout
647,psychotic disorder, verbal auditory hallucinations
648,psychotic disorder, feel hopeless
649,psychotic disorder, irritable mood
650,psychotic disorder, agitation
651,psychotic disorder, tremor
652,psychotic disorder, catatonia
653,psychotic disorder, weepiness
654,psychotic disorder, homelessness
655,psychotic disorder, sleeplessness
656,psychotic disorder, withdraw
657,psychotic disorder, energy increase
658,psychotic disorder, intoxication
659,psychotic disorder, worry
660,psychotic disorder, behavior hyperactive
661,psychotic disorder, patient non compliance
662,psychotic disorder, mood depress
663,psychotic disorder, terrify
664,psychotic disorder, nightmare
665,psychotic disorder, consciousness clear
666,hyperlipidemia, pain chest
667,hyperlipidemia, angina pectoris
668,hyperlipidemia, palpitation
669,hyperlipidemia, presence q wave
670,hyperlipidemia, photopsia
671,hyperlipidemia, sweat
672,hyperlipidemia, sweat increase
673,hyperlipidemia, chest discomfort
674,hyperlipidemia, shortness breath
675,hyperlipidemia, giddy mood
676,hyperlipidemia, hypokinesia
677,hyperlipidemia, hemiplegia
678,hyperlipidemia, dizziness
679,bipolar disorder, feel suicidal
680,bipolar disorder, energy increase
681,bipolar disorder, suicidal
682,bipolar disorder, irritable mood
683,bipolar disorder, agitation
684,bipolar disorder, religious belief
685,bipolar disorder, disturb family
686,bipolar disorder, hallucinations auditory
687,bipolar disorder, verbal auditory hallucinations
688,bipolar disorder, weepiness
689,bipolar disorder, behavior hyperactive
690,bipolar disorder, catatonia
691,bipolar disorder, feel hopeless
692,bipolar disorder, worry
693,bipolar disorder, sleeplessness
694,bipolar disorder, hypersomnia
695,bipolar disorder, difficulty
696,bipolar disorder, hallucinations visual
697,bipolar disorder, hyperhidrosis disorder
698,bipolar disorder, mydriasis
699,bipolar disorder, extrapyramidal sign
700,bipolar disorder, loose associations
701,bipolar disorder, intoxication
702,bipolar disorder, motor retardation
703,bipolar disorder, homelessness
704,bipolar disorder, blackout
705,bipolar disorder, tremor
706,bipolar disorder, exhaustion
707,obesity, pain
708,obesity, catatonia
709,obesity, snore
710,obesity, pain chest
711,obesity, r wave feature
712,obesity, religious belief
713,obesity, shortness breath
714,obesity, fatigue
715,obesity, tire
716,obesity, overweight
717,obesity, systolic murmur
718,obesity, mood depress
719,obesity, ecchymosis
720,ischemia, drowsiness
721,ischemia, sleepy
722,ischemia, pain chest
723,ischemia, angina pectoris
724,ischemia, pressure chest
725,ischemia, chest discomfort
726,ischemia, shortness breath
727,ischemia, dyspnea
728,ischemia, sinus rhythm
729,ischemia, bradycardia
730,ischemia, sweat
731,ischemia, sweat increase
732,ischemia, rale
733,ischemia, asymptomatic
734,ischemia, anorexia
735,cirrhosis, ascites
736,cirrhosis, fall
737,cirrhosis, splenomegaly
738,cirrhosis, pruritus
739,cirrhosis, pain abdominal
740,cirrhosis, tumor cell invasion
741,cirrhosis, distend abdomen
742,cirrhosis, lesion
743,cirrhosis, hemodynamically stable
744,cirrhosis, guaiac positive
745,cirrhosis, sore touch
746,cirrhosis, bleed vagina
747,exanthema, fever
748,exanthema, pruritus
749,exanthema, macule
750,exanthema, lesion
751,exanthema, redness
752,exanthema, headache
753,exanthema, apyrexial
754,exanthema, arthralgia
755,exanthema, swell
756,exanthema, erythema
757,exanthema, photophobia
758,exanthema, chill
759,exanthema, scratch mark
760,exanthema, pain
761,exanthema, painful swallow
762,benign prostatic hypertrophy, mental status change
763,benign prostatic hypertrophy, cachexia
764,benign prostatic hypertrophy, blackout
765,benign prostatic hypertrophy, orthostasis
766,benign prostatic hypertrophy, orthopnea
767,benign prostatic hypertrophy, night sweat
768,benign prostatic hypertrophy, distress respiratory
769,benign prostatic hypertrophy, anorexia
770,benign prostatic hypertrophy, dysarthria
771,kidney failure acute, hyperkalemia
772,kidney failure acute, hypotension
773,kidney failure acute, hypocalcemia result
774,kidney failure acute, oliguria
775,kidney failure acute, hemodynamically stable
776,kidney failure acute, asthenia
777,kidney failure acute," hypothermia , natural"
778,kidney failure acute, diarrhea
779,kidney failure acute, haemorrhage
780,kidney failure acute, unresponsiveness
781,mitral valve insufficiency, shortness breath
782,mitral valve insufficiency, dyspnea exertion
783,mitral valve insufficiency, asymptomatic
784,mitral valve insufficiency, hypokinesia
785,mitral valve insufficiency, dyspnea
786,mitral valve insufficiency, syncope
787,mitral valve insufficiency, thicken
788,mitral valve insufficiency, leave atrial hypertrophy
789,mitral valve insufficiency, palpitation
790,mitral valve insufficiency, fatigue
791,mitral valve insufficiency, vomit
792,mitral valve insufficiency, pain
793,mitral valve insufficiency, cardiomegaly
794,mitral valve insufficiency, chest discomfort
795,arthritis, pain
796,arthritis, hemodynamically stable
797,arthritis, sleeplessness
798,arthritis, asthenia
799,arthritis, syncope
800,arthritis, swell
801,arthritis, atypia
802,arthritis, general unsteadiness
803,arthritis, shortness breath
804,arthritis, distend abdomen
805,bronchitis, cough
806,bronchitis, wheeze
807,bronchitis, shortness breath
808,bronchitis, chest tightness
809,bronchitis, fever
810,bronchitis, throat sore
811,bronchitis, productive cough
812,bronchitis, hepatosplenomegaly
813,bronchitis, night sweat
814,bronchitis, haemoptysis
815,bronchitis, labor breathe
816,bronchitis, snuffle
817,bronchitis, hack cough
818,bronchitis, dyspnea
819,bronchitis, chill
820,bronchitis, stridor
821,bronchitis, decrease body weight
822,hemiparesis, dysarthria
823,hemiparesis, paresis
824,hemiparesis, asthenia
825,hemiparesis, aphagia
826,hemiparesis, seizure
827,hemiparesis, speech slur
828,hemiparesis, focal seizures
829,hemiparesis, hemiplegia
830,hemiparesis, abnormal sensation
831,hemiparesis, unresponsiveness
832,hemiparesis, stupor
833,hemiparesis, drowsiness
834,hemiparesis, sleepy
835,hemiparesis, fremitus
836,hemiparesis, stahli 's line
837,hemiparesis, sting sensation
838,hemiparesis, paralyse
839,hemiparesis, clonus
840,hemiparesis, facial paresis
841,osteoporosis, prostatism
842,osteoporosis, fall
843,osteoporosis, hirsutism
844,osteoporosis, sniffle
845,osteoporosis, distend abdomen
846,osteoporosis, vertigo
847,osteoporosis, numbness hand
848,osteoporosis, bradykinesia
849,osteoporosis, pain
850,osteoporosis, syncope
851,osteoporosis, breath
852,osteoporosis, apyrexial
853,osteoporosis, urge incontinence
854,osteoporosis, lightheadedness
855,transient ischemic attack, speech slur
856,transient ischemic attack, dysarthria
857,transient ischemic attack, facial paresis
858,transient ischemic attack, asthenia
859,transient ischemic attack, neck stiffness
860,transient ischemic attack, vertigo
861,transient ischemic attack, numbness
862,transient ischemic attack, lightheadedness
863,transient ischemic attack, extrapyramidal sign
864,transient ischemic attack, stahli 's line
865,transient ischemic attack, vision blur
866,transient ischemic attack, headache
867,transient ischemic attack, room spin
868,transient ischemic attack, syncope
869,transient ischemic attack, difficulty
870,transient ischemic attack, ramble speech
871,transient ischemic attack, clumsiness
872,adenocarcinoma, mass body structure
873,adenocarcinoma, lesion
874,adenocarcinoma, decrease body weight
875,adenocarcinoma, constipation
876,adenocarcinoma, fremitus
877,adenocarcinoma, decrease stool caliber
878,adenocarcinoma, satiety early
879,adenocarcinoma, hematochezia
880,adenocarcinoma, egophony
881,adenocarcinoma, pain
882,adenocarcinoma, cicatrisation
883,adenocarcinoma, scar tissue
884,adenocarcinoma, pain abdominal
885,paranoia, hallucinations auditory
886,paranoia, hallucinations visual
887,paranoia, agitation
888,paranoia, irritable mood
889,paranoia, verbal auditory hallucinations
890,paranoia, feel suicidal
891,paranoia, suicidal
892,paranoia, terrify
893,paranoia, neologism
894,paranoia, homelessness
895,paranoia, energy increase
896,paranoia, mood depress
897,paranoia, decompensation
898,paranoia, cicatrisation
899,paranoia, scar tissue
900,paranoia, blackout
901,paranoia, loose associations
902,pancreatitis, vomit
903,pancreatitis, pain abdominal
904,pancreatitis, nausea
905,pancreatitis, pain
906,pancreatitis, diarrhea
907,pancreatitis, stool color yellow
908,pancreatitis, rigor - temperature-associated observation
909,pancreatitis, apyrexial
910,pancreatitis, sore touch
911,incontinence, paraparesis
912,incontinence, seizure
913,incontinence, asthenia
914,incontinence, urge incontinence
915,incontinence, unconscious state
916,incontinence, aura
917,incontinence, moody
918,incontinence, fear fall
919,incontinence, tremor
920,incontinence, spasm
921,incontinence, unhappy
922,incontinence, syncope
923,incontinence, fall
924,incontinence, stiffness
925,incontinence, unresponsiveness
926,paroxysmal dyspnea, orthopnea
